1	350	3406
2	800	5517
3	1250	6522
4	1700	7450
5	2150	8442
6	2600	9435
7	3050	10429
8	3500	12538
9	3950	13511
10	4400	14491
11	4850	15447
12	5300	16449
13	5750	17409
14	6200	19486
15	6650	20449
16	7100	22572
17	7550	23535
18	8000	24506
19	8450	26554
20	8800	29500
21	9150	32387
22	9600	33304
23	10050	34257
24	10500	35223
25	10950	36168
26	11400	38238
27	11850	39246
28	12300	40248
29	12750	41187
30	13200	42138
31	13650	43083
32	14100	45137
33	14550	46122
34	15000	47086
35	15450	48058
36	15900	49038
