1,350,2820
2,800,3807
3,1150,5627
4,1500,7465
5,1950,8474
6,2400,9415
7,2850,10379
8,3300,11313
9,3750,12317
10,4100,14122
11,4450,16009
12,4900,16956
13,5350,17932
14,5800,18935
15,6150,20807
16,6500,22695
17,6850,24525
18,7200,26293
19,7650,27219
20,8000,29045
21,8450,30014
22,8800,31947
23,9150,33766
24,9500,35626
25,9850,37507
26,10200,39407
27,10550,41305
28,10900,43159
29,11250,44999
30,11700,45940
31,12150,46919
32,12600,47861
33,12950,49639
34,13300,51485
35,13750,52439
36,14200,53397
37,14650,54353
38,15000,56127
39,15350,58002
40,15700,59820
41,16150,60776
42,16600,61754
43,17050,62708
44,17400,64473
45,17750,66294
